,Sales YTD,Sales CY,IGM YTD,IGM CY
Jan,0.29093770184475953,1.0051434810199111,-1.4338281924024245,0.12687161544153683
Feb,1.3437766030261584,1.761108207712759,0.16561206604737247,0.09403915480344871
Mar,2.1361616415723264,2.9187464,0.29660088655687944,0.07391569999999999
Apr,2.836710741392826,3.6697248000000005,0.441988697950939,0.09692520000000002
May,3.7266042494558578,4.368424000000001,0.6596530270434952,0.056813400000000014
Jun,5.356394270614605,5.3055118000000006,1.0634706582070128,0.8004469000000001
Jul,6.229064683825194,6.482086499999999,1.3070164531025061,1.2917156999999997
Aug,7.020650395273279,7.2228021,1.434871255523704,1.6395221
Sep,8.850776930742565,7.9276946,2.1227298783547113,2.1254042
